source,target
Tengo que plantar árboles en el jardín.,I have to plant trees in the garden.
Puede haber otra forma de hacer esto.,There may be another way to do this.
Tal vez no debí haber hecho eso.,Maybe I shouldn't have done that.
Incluso escribí un discurso solo en caso de que me pidieran dar uno.,I even wrote a speech just in case I was asked to give one.
Ya no me puedo llevar bien con los vecinos.,I can't get along with the neighbors any more.
"Ven acá, nena.","Come here, kid."
Sé lo que Tomás estaba haciendo.,I know what Tom was doing.
Tom no sabe exactamente que pretende hacer María.,Tom doesn't know for certain what Mary is going to do.
Mañana iré a estudiar a la biblioteca.,"Tomorrow, I'm going to study at the library."
Tomás es mi marido.,Tom is my husband.
Solo puedes fumar en la terraza.,You can only smoke on the terrace.
Todavía no sé cuál es mi dirección. Me voy a quedar donde mi amigo por un tiempo.,I don't know my address yet. I'm going to stay with my friend for a while.
Esa tienda vende periódicos y revistas.,That store sells newspapers and magazines.
¿Tenemos hielo suficiente?,Do we have enough ice?
El hombre viejo vive solo.,The old man lives by himself.
Sólo queda un poco de leche.,There's only a little milk left.
Tom es bien botana.,Tom is a hoot.
¿Habla usted de mi amiga?,Are you talking about my friend?
No quiero estar acá cuando Tom se despierte.,I don't want to be here when Tom wakes up.
Mis dos padres crecieron en el campo.,Both of my parents were brought up in the country.
Puede que Tom no vaya a Boston.,Perhaps Tom won't go to Boston.
Tengo que encontrar a mi perro.,I have to find my dog.
Tom es feliz cuando está con Mary.,Tom is happy when he is with Mary.
Dinos tu nombre auténtico.,Tell us your real name.
No estoy de acuerdo contigo.,I don't agree with you.
Opino que Tom es inocente.,I believe that Tom is innocent.
A mí me gustaría verte antes de partir a Europa.,I'd like to see you before leaving for Europe.
Saquémonos una foto juntos.,Let's get a picture of us together.
¿Sabes lo que hice?,Do you know what I did?
El avión aterrizó en la finca de mi padre.,The airplane landed on my father's farm.
Me encanta la comida estadounidense.,I love American food.
"Bueno, la noche es joven, ¿no es cierto?","Well, the night is young, isn't it?"
Tom le preguntó a Mary si le gustaría ir de compras.,Tom asked Mary whether she'd like to go shopping.
Sé lo que has dicho.,I know what you said.
Tom dimitió al día siguiente.,Tom resigned the next day.
Uno de mis sueños es ver un día la aurora boreal.,One of my dreams is to one day see the aurora borealis.
He esperado dos horas enteras. No puedo esperar más.,I've waited two whole hours. I can't wait any longer.
Tendremos que tener cuidado.,We'll have to be careful.
¿A quién te recuerda Tom?,Who does Tom remind you of?
Pide a Tom que me devuelva la llamada.,Ask Tom to call me back.
Ese psiquiatra se especializó en desórdenes alimenticios.,That psychiatrist specialized in eating disorders.
Mi tío trabaja en esta oficina.,My uncle works in this office.
Necesito una espátula.,I need a spatula.
No quiero sándwiches.,I don't want any sandwiches.
¿Quieres ir a nadar?,Do you feel like going swimming?
Deberías estar en casa.,You should be home.
"Buscamos a los dos chicos por todas partes, pero ninguno pudo ser encontrado.","We searched for the two boys everywhere, but neither could be found."
Ni siquiera has tratado aún.,You haven't even tried yet.
Quiero que todos me enseñen su carnet de conducir.,I want everyone to show me his or her driver's license.
Vayamos juntos al teatro.,Let's go to the theater together.
Terminé el trabajo en menos de una hora.,I finished the work in less than an hour.
Estoy muy impresionado con su control de calidad.,I'm very impressed with your quality control.
¿Quién cuidará del bebé?,Who will take care of the baby?
¿Has cavado un hoyo tan profundo como este alguna vez?,Have you ever dug a hole as deep as this one?
¡A ver si puedes nadar!,Try and swim!
El autobús está vacío.,The bus is empty.
Tú sabes dónde recae el problema.,You know where the problem lies.
Tom no pudo oír lo que estaba diciendo Mary.,Tom couldn't hear what Mary was saying.
Tom es el menor de los tres.,Tom's the smallest of the three.
Voten por Tom.,Vote for Tom.
"No la conozco, ni quiero conocerla.","I don't know her, nor do I want to."
Hay una oveja negra en cada rebaño.,There's a black sheep in every flock.
Él moriría dentro de un mes.,He would die within a month.
Tom no tiene hermanos ni hermanas.,Tom doesn't have any brothers and sisters.
Oí que ella es una actriz famosa.,I hear that she is a famous actress.
"""¿Entendiste?"" ""Más o menos.""","""Did you understand?"" ""More or less."""
Soy el novio de Mary.,I'm Mary's boyfriend.
Aquí hace mucho calor en verano.,It's very hot here in the summer.
Necesito esos zapatos.,I need those shoes.
El proyecto continúa.,The project is ongoing.
Hay una sutil diferencia entre las dos palabras.,There is a subtle difference between the two words.
¿Alguna vez la gente te ha acusado de ser un engreido?,Do people ever accuse you of being snobbish?
Creo que estoy listo.,I think I'm ready.
"Estaba a punto de darme por vencido, cuando de repente encontré la solución.",I was on the point of giving up when I suddenly hit upon the solution.
¿Quién te ha escrito esa carta?,Who wrote you that letter?
Él no pudo ir a la universidad.,He could not go to college.
"Tú sabes por qué estoy aquí, ¿cierto?","You know why I'm here, right?"
La policía no pudo encontrar ninguna huella afuera de la ventana de la habitación de Tom.,The police couldn't find any footprints outside Tom's bedroom window.
Pasé dos noches en ese hotel.,I spent two nights in this hotel.
Ambos son buenos profesores.,They are both good teachers.
Ella ha pasado horas en el gimnasio intentando perder peso.,She has spent hours at the gym trying to lose weight.
¿Vas a viajar solo?,Will you travel alone?
Quiero hablar con usted antes de que salga.,I want to talk to you before you leave.
¿Te molesta si abro la ventana un poco?,Do you mind if I open the window?
Al rojo le queda bien el gris.,Gray goes well with red.
Gracias por invitarnos a cenar.,Thank you for inviting us to dinner.
He oído que no vienes.,I heard that you're not coming.
Él cree que la historia es verdad.,He believes that the story is true.
¿Te importaría que cerrara la ventana? Estoy un poco resfriado.,Would you mind if I shut the window? I have a slight cold.
Éste es tu libro.,This is your book.
Prefiero el invierno al verano.,I prefer winter to summer.
¡Tienes tanto talento!,You're so talented.
"Él luce muy vigoroso, considerando su edad.","He looks very vigorous, considering his age."
Ayer me encontré con un viejo amigo cuando fui al cine.,I ran across an old friend when I went to the movies yesterday.
Una vez más gracias por todo.,Thanks again for everything.
