source,target
"No, I wasn't talking to you.","No, no hablaba yo contigo."
This machine is worthless.,Esta máquina no tiene ningún valor.
They went on an expedition to the Antarctic.,Ellos fueron en una expedición a la Antártida.
I was amazed that she had drunk all of the wine.,Estaba sorprendido de que ella se hubiera tomado todo el vino.
Mom and Dad gave me a bicycle.,Papá y mamá me regalaron una bicicleta.
We're digging a well in the backyard.,Estamos cavando un pozo en el patio.
I'm listening to the radio.,Estoy escuchando la radio.
I'm really not much of a guitarist.,No le pego mucho a la guitarra en realidad.
I've never owned property in Australia.,Nunca he tenido propiedades en Australia.
Tom was supposed to help me this afternoon.,Se suponía que Tom me ayudara esta tarde.
Tom says he doesn't have anything to do.,Tom dice que él no tiene nada que hacer.
This coat fits me very well.,Esta chaqueta me queda muy bien.
Was the operation an outpatient procedure?,¿Fue la operación un procedimiento ambulatorio?
We must sleep at least eight hours a day.,Tenemos que dormir al menos ocho horas al día.
The footnotes are at the bottom of the page.,Las anotaciones están al pie de la página.
You can go if you want to.,Puedes ir si quieres.
Have you heard any news from Australia?,¿Has recibido alguna noticia de Australia?
I recently had surgery.,Recientemente tuve cirugía.
The scholarship enabled her to study abroad.,La beca le permitió estudiar en el extranjero.
You should ask your parents for permission.,Deberías pedirle permiso a tus padres.
It is better for you to do it now.,Es mejor que lo hagas ahora.
Don't waste your time on trifles.,No malgastes tu tiempo en pequeñeces.
"As always, you have understood poorly!","¡Como siempre, lo has entendido mal!"
What do you think of this plan?,¿Qué opinas sobre este plan?
Tom is absolutely correct.,Tom tiene toda la razón.
He's three years older than she is.,Él es tres años mayor que ella.
One false move and you're dead.,¡Un movimiento en falso y estás muerto/muerta!
She dreamed of becoming a nurse.,Ella soñó con convertirse en una enfermera.
I'll do my best not to disturb your studying.,Haré lo mejor para no molestar tu estudio.
She wears her hair loose.,Ella lleva el pelo suelto.
Do you know the reason why two-thirds of the students did not attend the student meeting?,¿Sabes tú la razón por la que dos tercios de los estudiantes no asistieron a la reunión de estudiantes?
I want you to come home.,Quiero que vengas a casa.
They were wrong.,Ellos estaban equivocados.
The meat is really tender.,La carne está realmente tierna.
My father had me change a tire on his car.,Mi padre me hizo cambiar un neumático de su coche.
Tom should've arrived already.,Tom ya debería haber llegado.
I'm telling the truth now.,Estoy contando la verdad ahora.
Do you think I'm crazy?,¿Creéis que estoy loco?
"No, I'm not a teacher. I'm only a student.","No, no soy maestro. Soy solo un estudiante."
"I'm so happy, I feel like I could fly.",Estoy tan feliz que siento que podría volar.
It's not necessary that you do it.,No es necesario que tú hagas eso.
I'm going to give you one last chance.,Te voy a dar una última oportunidad.
The game was canceled at the last minute.,El juego fue cancelado en el último minuto.
"You and I are good friends, but we have little in common.","Somos buenos amigos, pero tenemos poco en común."
Could Tom really be that devious?,¿Pudo Tom realmente ser tan artero?
How much time does it usually take you to eat breakfast?,¿Cuánto sueles tardar en desayunar?
It's possible that they'll go to the supermarket today.,Es posible que ellos vayan hoy al supermercado.
"He won't come, will he?","Él no vendrá, ¿verdad?"
He is after a job.,Él está buscando trabajo.
I'm allergic to synthetic rubber.,Soy alérgico a la goma sintética.
He seems to have told a lie.,Parece que él ha dicho una mentira.
The cookies were delicious.,Las galletas estaban deliciosas.
She wrote a lot of poems.,Ella escribió muchos poemas.
Did you see the sunset earlier? It was really beautiful.,¿Viste la puesta de sol hace un rato? Fue realmente hermosa.
Tom has to speak French at work.,Tom tiene que hablar en francés en el trabajo.
What's the message?,¿Cuál es el mensaje?
Everyone seemed to be in a hurry.,Todo el mundo parecía tener prisa.
Tom hasn't been sick in a long time.,Tom no ha estado enfermo por un largo tiempo.
Happiness is a delicate flower.,La felicidad es una flor delicada.
I changed the lock on my door.,Le cambié la cerradura a mi puerta.
I wish I had been kind to her then.,Desearía haber sido amable con ella entonces.
It took her a while to realize the situation.,Le tomó un tiempo comprender la situación.
I greatly appreciate your advice.,Aprecio mucho su consejo.
He washes his car at least once a week.,Él lava su coche al menos una vez a la semana.
Brush your teeth properly before going to bed.,Lávate bien los dientes antes de ir a la cama.
