source,target
"No, no hablaba yo contigo.","No, I wasn't talking to you."
Esta máquina no tiene ningún valor.,This machine is worthless.
Ellos fueron en una expedición a la Antártida.,They went on an expedition to the Antarctic.
Estaba sorprendido de que ella se hubiera tomado todo el vino.,I was amazed that she had drunk all of the wine.
Papá y mamá me regalaron una bicicleta.,Mom and Dad gave me a bicycle.
Estamos cavando un pozo en el patio.,We're digging a well in the backyard.
Estoy escuchando la radio.,I'm listening to the radio.
No le pego mucho a la guitarra en realidad.,I'm really not much of a guitarist.
Nunca he tenido propiedades en Australia.,I've never owned property in Australia.
Se suponía que Tom me ayudara esta tarde.,Tom was supposed to help me this afternoon.
Tom dice que él no tiene nada que hacer.,Tom says he doesn't have anything to do.
Esta chaqueta me queda muy bien.,This coat fits me very well.
¿Fue la operación un procedimiento ambulatorio?,Was the operation an outpatient procedure?
Tenemos que dormir al menos ocho horas al día.,We must sleep at least eight hours a day.
Las anotaciones están al pie de la página.,The footnotes are at the bottom of the page.
Puedes ir si quieres.,You can go if you want to.
¿Has recibido alguna noticia de Australia?,Have you heard any news from Australia?
Recientemente tuve cirugía.,I recently had surgery.
La beca le permitió estudiar en el extranjero.,The scholarship enabled her to study abroad.
Deberías pedirle permiso a tus padres.,You should ask your parents for permission.
Es mejor que lo hagas ahora.,It is better for you to do it now.
No malgastes tu tiempo en pequeñeces.,Don't waste your time on trifles.
"¡Como siempre, lo has entendido mal!","As always, you have understood poorly!"
¿Qué opinas sobre este plan?,What do you think of this plan?
Tom tiene toda la razón.,Tom is absolutely correct.
Él es tres años mayor que ella.,He's three years older than she is.
¡Un movimiento en falso y estás muerto/muerta!,One false move and you're dead.
Ella soñó con convertirse en una enfermera.,She dreamed of becoming a nurse.
Haré lo mejor para no molestar tu estudio.,I'll do my best not to disturb your studying.
Ella lleva el pelo suelto.,She wears her hair loose.
¿Sabes tú la razón por la que dos tercios de los estudiantes no asistieron a la reunión de estudiantes?,Do you know the reason why two-thirds of the students did not attend the student meeting?
Quiero que vengas a casa.,I want you to come home.
Ellos estaban equivocados.,They were wrong.
La carne está realmente tierna.,The meat is really tender.
Mi padre me hizo cambiar un neumático de su coche.,My father had me change a tire on his car.
Tom ya debería haber llegado.,Tom should've arrived already.
Estoy contando la verdad ahora.,I'm telling the truth now.
¿Creéis que estoy loco?,Do you think I'm crazy?
"No, no soy maestro. Soy solo un estudiante.","No, I'm not a teacher. I'm only a student."
Estoy tan feliz que siento que podría volar.,"I'm so happy, I feel like I could fly."
No es necesario que tú hagas eso.,It's not necessary that you do it.
Te voy a dar una última oportunidad.,I'm going to give you one last chance.
El juego fue cancelado en el último minuto.,The game was canceled at the last minute.
"Somos buenos amigos, pero tenemos poco en común.","You and I are good friends, but we have little in common."
¿Pudo Tom realmente ser tan artero?,Could Tom really be that devious?
¿Cuánto sueles tardar en desayunar?,How much time does it usually take you to eat breakfast?
Es posible que ellos vayan hoy al supermercado.,It's possible that they'll go to the supermarket today.
"Él no vendrá, ¿verdad?","He won't come, will he?"
Él está buscando trabajo.,He is after a job.
Soy alérgico a la goma sintética.,I'm allergic to synthetic rubber.
Parece que él ha dicho una mentira.,He seems to have told a lie.
Las galletas estaban deliciosas.,The cookies were delicious.
Ella escribió muchos poemas.,She wrote a lot of poems.
¿Viste la puesta de sol hace un rato? Fue realmente hermosa.,Did you see the sunset earlier? It was really beautiful.
Tom tiene que hablar en francés en el trabajo.,Tom has to speak French at work.
¿Cuál es el mensaje?,What's the message?
Todo el mundo parecía tener prisa.,Everyone seemed to be in a hurry.
Tom no ha estado enfermo por un largo tiempo.,Tom hasn't been sick in a long time.
La felicidad es una flor delicada.,Happiness is a delicate flower.
Le cambié la cerradura a mi puerta.,I changed the lock on my door.
Desearía haber sido amable con ella entonces.,I wish I had been kind to her then.
Le tomó un tiempo comprender la situación.,It took her a while to realize the situation.
Aprecio mucho su consejo.,I greatly appreciate your advice.
Él lava su coche al menos una vez a la semana.,He washes his car at least once a week.
Lávate bien los dientes antes de ir a la cama.,Brush your teeth properly before going to bed.
"Cuando abrí las cortinas, estaba nevando.","When I opened the curtains, it was snowing."
¿Ya has dado de comer a los caballos?,Have you already fed the horses?
En los últimos desórdenes hubo varios heridos.,There were several people hurt in the recent riots.
No debería haberlo hecho nunca.,I should never have done it.
Parece que hay alguien en la cueva.,It seems that there's someone in the cave.
Oí que ella es una actriz famosa.,I hear she's a famous actress.
"A decir verdad, ella en realidad no me gusta.","To tell the truth, I don't really like her."
"En Japón, los repuestos para computadores son muy caros.",Computer supplies are very expensive in Japan.
Ella odia los pimientos.,She hates green peppers.
¿Eres capaz de resolverlo?,Can you solve it?
¿Puede usted distinguirlo de su hermano?,Can you tell him from his brother?
¿Te puedes levantar?,Can you stand up?
No vuelvas a llegar tarde al colegio.,Don't be late to school again.
No quiero ser tu enemigo.,I don't want to be your enemy.
Tom tiene pelo ondulado.,Tom has wavy hair.
Veamos si Tom tiene algunas ideas.,Let's see if Tom has any ideas.
¿Por qué la gente no siempre dice la verdad?,Why do people not always tell the truth?
Mary es la hermana gemela de Tom.,Mary is Tom's twin sister.
Tom es un chico malo.,Tom is a bad boy.
Quería que yo viniese.,She wanted me to come.
No voy a llegar a tiempo a la fábrica.,I won't reach the factory in time.
¿Dónde está el aeropuerto?,Where's the airport?
Sé que debí llamar primero.,I know I should've called first.
Cuatro veces cinco es veinte.,Four times five is twenty.
Tom quería comprar algunos recuerdos.,Tom wanted to buy some souvenirs.
No salí a ningún lado porque tú me dijiste que no lo hiciera.,I didn't go out at all because you told me not to.
Tom pensó que Mary no era tan cooperativa como ella debería haber sido.,Tom thought Mary wasn't as cooperative as she should've been.
¿Te importa si me siento aquí?,Do you mind if I sit down?
Vivo en una ciudad pequeña.,I live in a small town.
Tom vino a Francia con la intención de estudiar francés.,Tom came to France with the intention of studying French.
Ellos intentaron escapar.,They tried to escape.
Tom no fue a la fiesta.,Tom didn't go to the party.
"Pensé que solo estabas enojado conmigo, y no con el resto de mi familia.",I thought you were only angry with me and not with the rest of my family.
Yo ya había comido antes de llegar a la fiesta.,I had already eaten before I arrived at the party.
Él llegó tarde a su propia boda.,He was late to his own wedding.
Tom se quitó su anillo de bodas.,Tom took off his wedding ring.
Tom tiene tres biromes en el bolsillo.,Tom has three pens in his pocket.
Los médicos estuvieron curando a los heridos.,The doctors were treating the wounded.
"Por favor, rellene este formulario.",Please fill in this application form.
Tom no podía hacerse entender.,Tom couldn't make himself understood.
¿Quién va a cuidar de nuestro perro?,Who's going to look after our dog?
El banco se negó a entregarles más crédito.,The bank refused to give them more credit.
El acantilado cuelga sobre el mar.,The cliff hangs over the sea.
Tom no irá aún si lo invitan.,Tom won't go even if he's invited.
Nadie te culparía si te fueras ahora mismo.,No one would blame you if you left right now.
"Le aconsejó que visitara Boston, porque pensaba que era la ciudad más bella en el mundo.","She advised him to visit Boston, because she thought it was the most beautiful city in the world."
La policía está allí.,The police are there.
Quisiera que discutieramos estos resultados.,I'd like for us to discuss these results.
No es una solución fácil.,It's not an easy solution.
No debes juzgar a un hombre por su apariencia.,You shouldn't judge a man by his appearance.
No llego a entender lo que dijo.,What he said doesn't make sense to me.
No puedo hablar por todos mis compañeros.,I can't speak for all of my colleagues.
Tom contuvo un grito.,Tom stifled a scream.
