source,target
Ich bin ein Frühaufsteher.,I'm an early riser.
Du wirst im Krankenhaus enden.,You'll end up in the hospital.
"Wußtest du, daß Tom Geburtstag hat?",Did you know it's Tom's birthday?
"Der Oberst sagte, die Lage sei unter Kontrolle.",The Colonel said the situation is under control.
Diese Pflanzenart wächst nur in tropischen Regionen.,This kind of plant grows only in the tropical regions.
Diese Milch hat einen seltsamen Geschmack.,This milk has a peculiar taste.
Könnt ihr das näher erläutern?,Could you clarify that?
Schau dir das Bild an.,Look at the picture.
Wo ist dein älterer Bruder gerade?,Where's your older brother right now?
Seine Geschichte war interessant.,His story was interesting.
"Hättet ihr etwas dagegen, wenn ich eine Pause machen würde?",Would you mind if I took a break?
"Tom ist arbeitslos, nicht wahr?","Tom is out of work, isn't he?"
Diese Antwort gefällt mir.,I like this answer.
"Es hat euch niemand gebeten, das zu tun.",No one asked you to do that.
Wann ziehst du ins neue Haus ein?,When are you moving to your new house?
Warum vertraust du Tom nicht?,Why don't you trust Tom?
"Tom hat uns noch nicht gesagt, was er braucht.",Tom hasn't yet told us what he needs.
Lass mich allein mit Tom sprechen.,Let me talk to Tom alone.
Nehmen Sie diesen Tisch weg.,Take this table away.
Tom bedeutet mir nichts.,Tom means nothing to me.
Die Operation war erfolgreich.,The operation was successful.
Es ist so ungerecht.,It's so unfair.
Was ist übriggeblieben?,What was left?
Tom half mir bei der Wohnungssuche.,Tom helped me find a place to live.
"Ich erinnere mich, auf einem Schiff gewesen zu sein, als ich erst fünf Jahre zählte.",I remember being on a ship when I was only five years old.
"Du weißt, daß du zurückmußt.",You know you have to go back.
"Wollen Sie sagen, dass ich ein Lügner bin?",Are you saying that I'm a liar?
Ich kann Tom in seinem Schlafzimmer Gitarre spielen hören.,I can hear Tom playing guitar in his bedroom.
"Tom ist ganz schön alt, nicht wahr?","Tom is pretty old, isn't he?"
"Tom weiß, wer seinen Hund getötet hat.",Tom knows who killed his dog.
"Ich wollte, ich könnte helfen.",I wish I could help.
Wie wär's mit etwas Milch?,How about some milk?
Haben Sie Honig?,Do you have honey?
Die meisten Entwicklungsländer leiden an Überbevölkerung.,Most developing countries are suffering from overpopulation.
Wie nervös bist du?,How nervous are you?
Fahrkarten kann man am Bahnhof kaufen.,You can buy tickets at the station.
Das mache ich am nächsten Wochenende.,I'm going to do that next weekend.
Welche Tasse ist deine?,Which cup is yours?
Fühlst du dich müde?,Are you feeling tired?
"Was machst du mit dem aufgefangenen Regenwasser, Tom?","What do you do with the rainwater you've caught, Tom?"
"Gehst du zu Toms Party? － ""Ich bin mir noch nicht sicher.""","Are you going to Tom's party? ""I'm still not sure."""
Frauen arbeiteten zu Hause.,Women worked at home.
"Ich glaube nicht, dass Tom weiß, was für eine gute Gitarristin Mary ist.",I don't think Tom knows how good a guitarist Mary is.
Lern doch Französisch!,Why don't you learn French?
Er ließ sich einen neuen Anzug anfertigen.,He had a new suit made.
"Ich weiß, dass Tom recht hatte.",I know Tom was right.
Ich unterrichte auch gerne.,"I like teaching, too."
Wie hoch ist diesen Monat mein Kontostand?,What's my bank balance this month?
"Es ist wichig, jeden Tag zu lernen.",It's important to study every day.
"Es heißt oft, dass das Leben kurz sei.",They often say that life is short.
Ich habe mir die Schulter ausgerenkt.,I've dislocated my shoulder.
"Entschuldigen Sie, daß ich Sie abgelenkt habe!",I'm sorry to have distracted you.
Wir erklommen einen steilen Abhang.,We climbed a steep slope.
"Tom wußte nicht, daß das Auto, das er gekauft hatte, gestohlen war.",Tom didn't know that the car that he bought had been stolen.
Ich habe nicht lange geschlafen.,I haven't had much sleep.
Das ist ein blaues Haus.,That's a blue house.
Wir werden dich retten.,We'll save you.
Alle kennen meinen Namen.,Everyone knows my name.
