source,target
He leído varias veces ese libro.,I've read that book several times.
No eres fácil de encontrar.,You're not easy to find.
Tan solo quiero mejorar tanto como pueda.,I just want to improve as much as I can.
Dejé uno de mis libros en la escuela.,I left one of my books at school.
Supongo que dependerá del clima.,I guess it depends on the weather.
La nieve cubrió la ciudad por completo.,Snow completely covered the town.
¿Estás listo para hacer eso?,Are you ready to do that?
Estoy indignado contigo.,I am disgusted with you.
Quisiera reservar una habitación en un hotel.,I'd like to reserve a room in a hotel.
No lo puedo ver.,I can't see it.
"Conforme leía, más me interesaba.","As I was reading, I became more interested."
La policía ha encontrado un cadáver en un auto abandonado en la proximidad del parque.,The police found a dead body in an abandoned car near the park.
No todos los libros son dignos de ser leídos.,Not all books are worth reading.
Él sabe aconsejar personas.,He knows how to advise people.
El cuadro está colgado torcido.,The picture is hung crooked.
El amor es confuso.,Love is confusing.
Es trabajo sucio.,It's dirty work.
Ellos hacen sonar la campana a las ocho.,They ring the bell at eight.
"Al principio, no tenía ni idea del porqué.","At first, I had no idea why."
No puedo quejarme.,I can't complain.
Le disparó con una ametralladora.,She shot him with a machine gun.
La madre masajeó la espalda de su hijo enfermo.,The mother rubbed the sick child's back.
Me hubiera agradado.,I would've liked that.
¿Cuándo fue la última vez que tomasteis alcohol?,When was the last time you drank alcohol?
Tom habla francés mucho mejor que Mary.,Tom speaks French much better than Mary.
Nuestro problema es cómo ponernos en contacto con él.,Our problem is how to get in touch with him.
Tom sigue llevando la etiqueta del precio en la camisa que lleva puesta.,The price tag is still on the shirt Tom is wearing.
No tienen opción.,They have no choice.
Quiero lo mejor para Tom.,I want what's best for Tom.
Es nuestro último día aquí.,This is our last day here.
Hay algunos huevos en la caja.,There are some eggs in the box.
Esos son mis CDs.,Those are my CDs.
No puedo cambiar esto.,I can't change this.
¿A ti te sangran las encías?,Do your gums bleed?
Tengo muchas ganas de ir al concierto.,I'm looking forward to going to the concert.
Es una mala inversión.,It's a bad investment.
Yo solía ir a la iglesia los domingos.,I used to go to church on Sundays.
"Comparado con el baloncesto, el béisbol quizás se considere un poco lento y aburrido.","Compared to basketball, baseball might be considered a little slow and boring."
¿Es eso tan difícil de hacer?,Is that so hard to do?
La herida se curó.,The wound healed.
No puedo aprobar este proyecto.,I can't approve this project.
Algunas de éstas son mías.,Some of these are mine.
Creo que a Tom le va a gustar.,I think that Tom will like it.
Alguien dejó su paraguas en el salón.,Someone left their umbrella in the hall.
El auditorio aplaudió en señal de aprobación.,The audience applauded approvingly.
"Estoy en contra de la guerra, por supuesto.","I am against the war, of course."
¿Por qué lo haces?,Why are you doing this?
Lo que Tom verdaderamente quería eran unas vacaciones de dos semanas.,What Tom really wanted was a two-week vacation.
Boston es adonde yo quiero ir.,Boston is where I want to go.
Solía haber una tienda justo aquí.,There used to be a store right here.
Tom le pidió a Mary que se llegara hasta Boston.,Tom asked Mary to come to Boston.
Tom se sacó su dentadura postiza.,Tom took out his false teeth.
¿Cómo lo sabes?,How do you know?
A Tom le gustás tal como sos.,Tom likes you just the way you are.
Quemad el cuerpo.,Burn the body.
Tom no presta mucha atención a su vestimenta.,Tom doesn't pay much attention to how he dresses.
Pensé que a Tom le encantaría el regalo que le diste.,I thought Tom would love the gift you gave him.
"Para empeorar las cosas, se puso enfermo.","To make matters worse, he fell ill."
Tom visita a Mary al menos una vez a la semana.,Tom sees Mary at least once a week.
Ella estará de vuelta en menos de diez minutos.,She will be back in less than ten minutes.
Somos prácticamente de la familia.,We're practically family.
No querría especular.,I wouldn't want to speculate.
Pareces saber ya la respuesta.,You seem to already know the answer.
¡No digas tonterías!,Don't talk nonsense.
Tom quería responder.,Tom wanted to respond.
¿Puedo preguntar por qué no quieres hablar de eso?,May I ask why it is that you don't want to talk about it?
El criminal tuvo que ocultar su identidad.,The criminal had to conceal his identity.
Hay una respuesta para todo.,There's an answer to everything.
¿Cuánto pesa vuestra maleta?,How heavy is your suitcase?
Mary no podía creer que Tom nunca haya escuchado Stairway to Heaven.,Mary couldn't believe that Tom had never listened to Stairway to Heaven.
Tom preparó una torta para el cumpleaños de Mary.,Tom baked a cake for Mary's birthday.
No llevó mucho tiempo.,That didn't take long.
Él buscó refugio de la lluvia.,He sought shelter from the rain.
Tom estaba aquí cuando desperté esta mañana.,Tom was here when I woke up this morning.
"Ahora mismo estamos un poco ocupados, ¿puede esperar un minuto?",We're a bit busy at the moment. Can you hang on a minute?
Voy porque me da la gana.,I'm going because I want to.
El disco duro fue completamente inutilizado.,The hard disk was completely destroyed.
Ellos se bajaron en la siguiente parada.,They got off at the next bus stop.
Dice que le gustan las flores.,He says he likes flowers.
"Antes de nada, tenemos que acabar los deberes.","First of all, we have to finish the homework."
Mary rompió con el chico con el que había estado saliendo.,Mary broke up with the boy she had been dating.
A ella parece gustarle hablar de sí misma.,She seems to be fond of talking about herself.
Ahora estoy en la escuela y estaré aquí hasta las 8.,I am at school now and I will stay here until 8 o'clock.
¿Por qué no te quitas el abrigo?,Why not take your coat off?
Ojalá ocurriera con más frecuencia.,I wish it would happen more often.
Persigue tus intereses.,Pursue your interests.
Voy directo a casa después del trabajo.,I go straight home after work.
"Por cierto, lo vi a él ayer.","By the way, I saw him yesterday."
Sólo era una broma.,It was only a joke.
Hoy me lo pasé muy bien con vosotros.,I had a great time with you today.
¿Por qué estás todavía en Boston?,Why are you still in Boston?
Tom es malvado.,Tom is evil.
Había un centenar de personas en el local.,There were a hundred people in the hall.
Mañana cumplo treinta años.,I turn thirty tomorrow.
Ella no distingue lo correcto de lo incorrecto.,She can't tell right from wrong.
"Me preguntó por mi edad, nombre, dirección etc.","He asked me my age, my name, my address, and so forth."
Tom trató de recordar la última vez que había visitado un museo de arte.,Tom tried to remember the last time he had visited an art museum.
Esto toma su tiempo.,It takes time.
Los caballos son diferentes a los burros.,Horses are different from donkeys.
Tom no quiere admitir que estaba equivocado.,Tom doesn't want to admit that he was wrong.
Mi madre se dio cuenta de que mis pies no estaban limpios.,My mother noticed that my feet weren't clean.
Es científico y músico.,He is a scientist and musician.
Mi brazo izquierdo no es tan fuerte.,My left arm isn't so strong.
Decidí suscribirme a la revista.,I decided to subscribe to the magazine.
No esperes por mi cuenta.,Don't wait on my account.
"Lo lamento mucho, pero no podemos dejarlos salir.","I'm very sorry, but we can't let you out."
